X: (),Y: (Hits)
-0.00474467,0
-0.00444011,0
-0.00413556,0
-0.00383101,0
-0.00352645,0
-0.0032219,0
-0.00291735,0
-0.00261279,0
-0.00230824,0
-0.00200369,0
-0.00169914,0
-0.00139458,0
-0.00109003,0
-0.000785476,0
-0.000480922,0
-0.000176369,0
0.000128184,0
0.000432737,0
0.00073729,0
0.00104184,7
0.0013464,60
0.00165095,77
0.0019555,55
0.00226006,37
0.00256461,38
0.00286916,30
0.00317372,25
0.00347827,25
0.00378282,7
0.00408738,14
0.00439193,18
0.00469648,16
0.00500103,14
0.00530559,18
0.00561014,14
0.00591469,14
0.00621925,10
0.0065238,13
0.00682835,11
0.00713291,6
0.00743746,12
0.00774201,11
0.00804657,11
0.00835112,5
0.00865567,7
0.00896023,15
0.00926478,5
0.00956933,8
0.00987389,8
0.0101784,12
0.010483,15
0.0107875,7
0.0110921,8
0.0113967,6
0.0117012,7
0.0120058,7
0.0123103,5
0.0126149,11
0.0129194,5
0.013224,9
0.0135285,5
0.0138331,5
0.0141376,8
0.0144422,4
0.0147467,1
0.0150513,2
0.0153558,8
0.0156604,7
0.0159649,4
0.0162695,7
0.0165741,3
0.0168786,2
0.0171832,6
0.0174877,10
0.0177923,6
0.0180968,1
0.0184014,5
0.0187059,2
0.0190105,3
0.019315,1
0.0196196,4
0.0199241,2
0.0202287,4
0.0205332,4
0.0208378,0
0.0211424,5
0.0214469,4
0.0217515,2
0.022056,3
0.0223606,3
0.0226651,2
0.0229697,0
0.0232742,0
0.0235788,4
0.0238833,4
0.0241879,5
0.0244924,2
0.024797,2
0.0251015,0
0.0254061,3
0.0257107,4
0.0260152,1
0.0263198,0
0.0266243,2
0.0269289,0
0.0272334,1
0.027538,3
0.0278425,0
0.0281471,2
0.0284516,2
0.0287562,0
0.0290607,2
0.0293653,4
0.0296698,2
0.0299744,3
0.0302789,4
0.0305835,0
0.0308881,0
0.0311926,3
0.0314972,0
0.0318017,0
0.0321063,0
0.0324108,0
0.0327154,2
0.0330199,0
0.0333245,1
0.033629,0
0.0339336,1
0.0342381,0
0.0345427,0
0.0348472,0
0.0351518,1
0.0354564,0
0.0357609,2
0.0360655,0
0.03637,0
0.0366746,0
0.0369791,0
0.0372837,0
0.0375882,1
0.0378928,1
0.0381973,0
0.0385019,2
0.0388064,1
0.039111,2
0.0394155,0
0.0397201,1
0.0400247,0
0.0403292,0
0.0406338,1
0.0409383,0
0.0412429,0
0.0415474,1
0.041852,1
0.0421565,0
0.0424611,1
0.0427656,3
0.0430702,0
0.0433747,1
0.0436793,1
0.0439838,0
0.0442884,0
0.0445929,0
0.0448975,2
0.0452021,0
0.0455066,0
0.0458112,0
0.0461157,0
0.0464203,0
0.0467248,0
0.0470294,0
0.0473339,0
0.0476385,0
0.047943,0
0.0482476,0
0.0485521,0
0.0488567,0
0.0491612,0
0.0494658,0
0.0497704,0
0.0500749,0
0.0503795,0
0.050684,0
0.0509886,0
0.0512931,0
0.0515977,0
0.0519022,0
0.0522068,0
0.0525113,0
0.0528159,0
0.0531204,0
0.053425,0
0.0537295,0
0.0540341,0
0.0543387,0
0.0546432,0
0.0549478,0
0.0552523,0
0.0555569,0
0.0558614,0
0.056166,0
0.0564705,0
0.0567751,0
0.0570796,0
0.0573842,0
0.0576887,0
0.0579933,0
0.0582978,0
0.0586024,0
0.0589069,0
0.0592115,0
0.0595161,0
0.0598206,0
0.0601252,0
0.0604297,0
0.0607343,0
0.0610388,0
0.0613434,0
0.0616479,0
0.0619525,0
0.062257,0
0.0625616,0
0.0628661,0
0.0631707,0
0.0634752,0
0.0637798,0
0.0640844,1
0.0643889,0
0.0646935,0
0.064998,0
0.0653026,0
0.0656071,0
0.0659117,0
0.0662162,0
0.0665208,0
0.0668253,0
0.0671299,0
0.0674344,0
0.067739,0
0.0680435,0
0.0683481,0
0.0686527,0
0.0689572,0
0.0692618,0
0.0695663,0
0.0698709,0
0.0701754,0
0.07048,0
0.0707845,0
0.0710891,0
