X: (),Y: (Hits)
0.000760416,0
0.000923324,0
0.00108623,0
0.00124914,1
0.00141205,1
0.00157496,7
0.00173786,7
0.00190077,9
0.00206368,20
0.00222659,36
0.0023895,30
0.0025524,45
0.00271531,41
0.00287822,43
0.00304113,45
0.00320404,54
0.00336694,54
0.00352985,53
0.00369276,49
0.00385567,48
0.00401858,41
0.00418148,38
0.00434439,44
0.0045073,32
0.00467021,30
0.00483312,33
0.00499602,28
0.00515893,34
0.00532184,28
0.00548475,32
0.00564766,21
0.00581056,27
0.00597347,20
0.00613638,23
0.00629929,18
0.0064622,10
0.0066251,15
0.00678801,12
0.00695092,13
0.00711383,25
0.00727674,13
0.00743964,12
0.00760255,14
0.00776546,13
0.00792837,14
0.00809128,8
0.00825418,7
0.00841709,11
0.00858,9
0.00874291,12
0.00890582,7
0.00906872,9
0.00923163,7
0.00939454,9
0.00955745,5
0.00972036,7
0.00988326,4
0.0100462,6
0.0102091,6
0.010372,2
0.0105349,5
0.0106978,1
0.0108607,4
0.0110236,5
0.0111865,5
0.0113494,3
0.0115123,2
0.0116753,1
0.0118382,0
0.0120011,1
0.012164,4
0.0123269,2
0.0124898,4
0.0126527,5
0.0128156,5
0.0129785,2
0.0131414,3
0.0133043,1
0.0134672,1
0.0136301,0
0.0137931,6
0.013956,2
0.0141189,0
0.0142818,0
0.0144447,2
0.0146076,7
0.0147705,0
0.0149334,2
0.0150963,1
0.0152592,0
0.0154221,2
0.015585,2
0.015748,1
0.0159109,1
0.0160738,3
0.0162367,0
0.0163996,0
0.0165625,2
0.0167254,1
0.0168883,0
0.0170512,1
0.0172141,3
0.017377,0
0.0175399,2
0.0177028,0
0.0178658,1
0.0180287,0
0.0181916,0
0.0183545,0
0.0185174,0
0.0186803,1
0.0188432,1
0.0190061,0
0.019169,2
0.0193319,1
0.0194948,1
0.0196577,1
0.0198207,2
0.0199836,0
0.0201465,1
0.0203094,1
0.0204723,0
0.0206352,0
0.0207981,0
0.020961,0
0.0211239,0
0.0212868,0
0.0214497,0
0.0216126,0
0.0217755,0
0.0219385,0
0.0221014,0
0.0222643,0
0.0224272,0
0.0225901,0
0.022753,0
0.0229159,0
0.0230788,0
0.0232417,0
0.0234046,0
0.0235675,0
0.0237304,1
0.0238934,0
0.0240563,0
0.0242192,0
0.0243821,1
0.024545,0
0.0247079,0
0.0248708,0
0.0250337,0
0.0251966,0
0.0253595,1
0.0255224,0
0.0256853,0
0.0258482,0
0.0260112,0
0.0261741,0
0.026337,0
0.0264999,1
0.0266628,0
0.0268257,0
0.0269886,0
0.0271515,0
0.0273144,0
0.0274773,0
0.0276402,1
0.0278031,0
0.0279661,0
0.028129,0
0.0282919,0
0.0284548,0
0.0286177,0
0.0287806,0
0.0289435,0
0.0291064,0
0.0292693,0
0.0294322,0
0.0295951,0
0.029758,0
0.0299209,0
0.0300839,0
0.0302468,0
0.0304097,0
0.0305726,0
0.0307355,0
0.0308984,0
0.0310613,0
0.0312242,0
0.0313871,0
0.03155,1
0.0317129,0
0.0318758,0
0.0320388,0
0.0322017,0
0.0323646,0
0.0325275,0
0.0326904,0
0.0328533,0
0.0330162,0
0.0331791,0
0.033342,0
0.0335049,0
0.0336678,0
0.0338307,0
0.0339936,0
0.0341566,0
0.0343195,0
0.0344824,1
0.0346453,0
0.0348082,0
0.0349711,0
0.035134,0
0.0352969,0
0.0354598,0
0.0356227,0
0.0357856,0
0.0359485,0
0.0361115,0
0.0362744,0
0.0364373,0
0.0366002,0
0.0367631,0
0.036926,0
0.0370889,0
0.0372518,0
0.0374147,0
0.0375776,0
0.0377405,0
0.0379034,0
0.0380663,1
0.0382293,0
0.0383922,0
0.0385551,0
0.038718,0
0.0388809,0
0.0390438,0
0.0392067,0
0.0393696,1
0.0395325,0
0.0396954,0
0.0398583,0
0.0400212,0
0.0401842,0
0.0403471,0
0.04051,0
0.0406729,0
0.0408358,0
0.0409987,0
0.0411616,0
0.0413245,0
